Month,WeekOfMonth,Make,AccidentArea,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,NumberOfSuppliments,NumberOfCars,BasePolicy,FraudFound
Feb,4,Mazda,Urban,Mar,3,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,none,more than 7,36 to 40,No,3 to 5,1 vehicle,All Perils,No
Feb,3,Pontiac,Urban,Feb,3,Male,Married,43,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,more than 4,more than 7,36 to 40,No,3 to 5,1 vehicle,Collision,No
Jan,4,Toyota,Urban,Jan,4,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Jan,4,Mazda,Urban,Feb,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,none,1 vehicle,Collision,Yes
Jan,5,Honda,Urban,Feb,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,6 years,36 to 40,No,more than 5,1 vehicle,All Perils,Yes
Jan,3,Toyota,Urban,Jan,4,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Jan,3,Pontiac,Rural,Jan,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,36 to 40,No,none,1 vehicle,Collision,No
Jan,2,Toyota,Urban,Jan,2,Male,Married,43,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,3 to 5,1 vehicle,Collision,No
Jan,3,Pontiac,Urban,Jan,3,Male,Single,43,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Jan,4,Honda,Urban,Feb,2,Male,Single,43,Policy Holder,Sport - Collision,Sport,"more than 69,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,Collision,No
Jan,3,Pontiac,Urban,Jan,4,Male,Single,43,Third Party,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,more than 7,36 to 40,No,3 to 5,1 vehicle,Liability,No
Jan,2,Pontiac,Urban,Feb,4,Male,Single,43,Policy Holder,Sedan - Collision,Sedan,"more than 69,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,1 vehicle,Collision,No
Jul,4,VW,Urban,Aug,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,1,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Jul,1,Pontiac,Urban,Jul,2,Male,Married,43,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,3 to 5,1 vehicle,Liability,No
Jul,3,Accura,Urban,Jul,3,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,none,1 vehicle,All Perils,No
Jul,1,Pontiac,Urban,Aug,1,Male,Married,43,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,1 to 2,1 vehicle,Collision,No
Jul,3,Ford,Urban,Jul,3,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Jul,3,Pontiac,Rural,Jul,3,Male,Single,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Jul,4,Pontiac,Urban,Aug,1,Male,Single,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,1 to 2,1 vehicle,All Perils,No
Jun,2,Honda,Urban,Jun,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,none,6 years,36 to 40,No,none,1 vehicle,All Perils,No
Jun,5,Accura,Urban,Nov,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,1 vehicle,Collision,No
Jun,1,Toyota,Rural,Jun,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
Jun,3,Honda,Urban,Jun,3,Female,Married,43,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,No,3 to 5,1 vehicle,Collision,No
Jun,3,Toyota,Urban,Jul,3,Male,Married,43,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,Collision,No
Jun,1,Accura,Urban,Jun,2,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"40,000 to 59,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,Collision,Yes
Jun,1,Pontiac,Urban,Jun,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,All Perils,Yes
Jun,4,Honda,Urban,Jul,3,Female,Married,43,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,1 to 2,1 vehicle,All Perils,No
Jun,4,Accura,Urban,Jun,5,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Jun,1,Toyota,Rural,Jun,1,Female,Married,43,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,6 years,36 to 40,No,none,1 vehicle,Liability,No
Jun,3,Mazda,Rural,Jun,3,Female,Married,43,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Jun,4,Pontiac,Urban,Jun,5,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,more than 4,6 years,36 to 40,No,more than 5,1 vehicle,Liability,No
Jun,4,Toyota,Rural,Jun,4,Male,Single,43,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,more than 5,1 vehicle,All Perils,No
Jun,3,Chevrolet,Urban,Jun,4,Female,Single,43,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,more than 7,36 to 40,No,1 to 2,1 vehicle,Liability,No
Mar,2,Toyota,Urban,Mar,3,Female,Divorced,43,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Mar,2,Toyota,Urban,Mar,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Mar,2,Accura,Urban,Apr,2,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Mar,2,Honda,Urban,Mar,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,1,more than 7,36 to 40,No,1 to 2,1 vehicle,All Perils,Yes
Mar,4,Pontiac,Urban,Apr,1,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,Collision,Yes
Mar,4,Chevrolet,Urban,Mar,5,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Mar,5,Mazda,Urban,Apr,2,Female,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,Collision,Yes
Mar,5,Toyota,Urban,Mar,5,Male,Married,43,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,36 to 40,No,more than 5,1 vehicle,Collision,No
Mar,1,Chevrolet,Urban,Mar,5,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,1 to 2,1 vehicle,Liability,No
Mar,2,Toyota,Urban,Mar,2,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Mar,3,Pontiac,Urban,Mar,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,more than 4,6 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Mar,2,Honda,Urban,Mar,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,3 to 5,1 vehicle,Collision,No
Mar,4,Honda,Urban,Mar,4,Female,Single,43,Third Party,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,1 vehicle,Liability,No
Mar,5,Accura,Urban,Apr,4,Male,Single,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,Liability,No
May,4,Mazda,Urban,May,4,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,6 years,36 to 40,No,more than 5,1 vehicle,Liability,No
May,2,Chevrolet,Urban,May,4,Male,Married,43,Third Party,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,more than 7,36 to 40,No,more than 5,1 vehicle,Liability,No
May,3,Mazda,Urban,May,3,Male,Married,43,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,more than 7,36 to 40,No,more than 5,1 vehicle,Collision,No
May,2,Ford,Urban,Jul,3,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,more than 7,36 to 40,No,more than 5,1 vehicle,Liability,No
May,4,Honda,Urban,May,4,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,2 to 4,6 years,36 to 40,No,1 to 2,1 vehicle,Liability,No
May,3,Pontiac,Urban,May,3,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,none,1 vehicle,All Perils,No
May,2,VW,Urban,May,2,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,36 to 40,No,more than 5,1 vehicle,Collision,No
May,3,Mazda,Urban,May,3,Female,Married,43,Third Party,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,All Perils,No
May,3,Honda,Urban,May,3,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
May,4,Saturn,Urban,Jun,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,more than 4,more than 7,36 to 40,No,none,3 to 4,Collision,No
May,1,Honda,Urban,Jun,3,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,Collision,No
May,3,Toyota,Urban,May,3,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,more than 5,1 vehicle,Liability,No
May,1,Pontiac,Urban,May,1,Female,Married,43,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,more than 5,1 vehicle,Liability,No
May,2,Pontiac,Urban,Jun,2,Male,Single,43,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
Nov,1,Toyota,Urban,Nov,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
Nov,1,Pontiac,Urban,Nov,2,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Nov,5,Toyota,Urban,Nov,5,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,Collision,No
Nov,5,Pontiac,Urban,Dec,1,Female,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,1 to 2,1 vehicle,Collision,No
Nov,2,Honda,Urban,Nov,3,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,more than 5,3 to 4,All Perils,No
Nov,1,Ford,Urban,Nov,1,Male,Married,43,Policy Holder,Utility - All Perils,Utility,"more than 69,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,All Perils,No
Nov,4,Pontiac,Urban,Dec,1,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,6 years,36 to 40,No,none,1 vehicle,Collision,No
Nov,1,Mazda,Urban,Nov,2,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Nov,1,Toyota,Urban,Nov,3,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,3 to 5,1 vehicle,All Perils,No
Nov,4,Mazda,Urban,Dec,2,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Nov,3,Toyota,Urban,Dec,2,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,3 to 5,1 vehicle,All Perils,No
Oct,5,Saturn,Rural,Nov,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"40,000 to 59,000",15 to 30,15 to 30,more than 4,7 years,36 to 40,No,none,1 vehicle,Liability,No
Oct,3,Accura,Urban,Oct,4,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,more than 7,36 to 40,No,more than 5,1 vehicle,Collision,No
Oct,4,Chevrolet,Urban,Oct,5,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,none,1 vehicle,All Perils,No
Oct,4,Nisson,Rural,Oct,4,Male,Married,43,Policy Holder,Utility - Collision,Utility,"more than 69,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,1 vehicle,Collision,No
Oct,4,Honda,Urban,Oct,4,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,none,1 vehicle,All Perils,No
Oct,5,Honda,Urban,Nov,1,Male,Married,43,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,more than 5,1 vehicle,All Perils,No
Oct,2,Toyota,Urban,Oct,2,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,Liability,No
Oct,3,Toyota,Urban,Oct,3,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,none,1 vehicle,All Perils,No
Oct,5,Toyota,Urban,Nov,1,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,6 years,36 to 40,No,none,1 vehicle,Collision,No
Oct,1,Pontiac,Urban,Oct,1,Male,Married,43,Policy Holder,Utility - All Perils,Utility,"40,000 to 59,000",more than 30,more than 30,more than 4,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Oct,1,Pontiac,Urban,Oct,1,Male,Single,43,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,36 to 40,No,none,1 vehicle,Collision,No
Oct,3,Honda,Urban,Oct,4,Male,Single,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,1 vehicle,All Perils,No
Sep,1,Honda,Urban,Sep,3,Male,Married,43,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,3 to 5,1 vehicle,Liability,No
Sep,5,Honda,Urban,Oct,1,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,more than 7,36 to 40,No,1 to 2,1 vehicle,All Perils,No
Sep,4,Honda,Urban,Oct,4,Male,Married,43,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Sep,3,Chevrolet,Urban,Sep,4,Male,Single,43,Policy Holder,Utility - All Perils,Utility,"more than 69,000",more than 30,more than 30,2 to 4,6 years,36 to 40,No,1 to 2,1 vehicle,All Perils,No
Sep,3,Pontiac,Urban,Oct,1,Male,Single,43,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,3 to 5,1 vehicle,All Perils,No
Dec,1,Mazda,Urban,Dec,2,Female,Married,44,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,6 years,36 to 40,No,more than 5,2 vehicles,Collision,No
Apr,1,Chevrolet,Urban,Apr,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,1,more than 7,36 to 40,No,3 to 5,2 vehicles,Liability,No
Aug,1,Pontiac,Urban,Aug,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,none,2 vehicles,Liability,No
Mar,3,Chevrolet,Urban,Mar,3,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,Collision,No
Nov,4,Toyota,Rural,Nov,4,Male,Single,44,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,Yes,none,1 vehicle,Liability,No
Dec,2,Honda,Urban,Dec,3,Female,Married,44,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,more than 4,5 years,36 to 40,No,none,2 vehicles,Liability,No
Jan,2,Toyota,Urban,Jan,2,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,1,5 years,36 to 40,No,none,2 vehicles,Liability,No
Jul,2,Mazda,Urban,Jul,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,more than 5,2 vehicles,Liability,No
Nov,2,Accura,Urban,Nov,4,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,3 to 5,2 vehicles,All Perils,No
Nov,3,Pontiac,Urban,Nov,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,none,2 vehicles,Liability,No
Sep,1,Pontiac,Urban,Sep,1,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,5 years,36 to 40,No,none,2 vehicles,Collision,No
Apr,3,Pontiac,Urban,Apr,4,Female,Married,44,Third Party,Sedan - Collision,Sedan,"30,000 to 39,000",none,15 to 30,none,7 years,36 to 40,No,none,2 vehicles,Collision,No
Aug,4,Honda,Urban,Aug,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,none,2 vehicles,Liability,No
Jan,3,Mazda,Urban,Jan,3,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,2 vehicles,Collision,No
Jun,3,Accura,Urban,Jun,4,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,1 to 2,2 vehicles,All Perils,No
Mar,2,Honda,Urban,Mar,4,Female,Single,44,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,none,2 vehicles,Collision,No
May,1,Honda,Urban,May,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,1 to 2,2 vehicles,Liability,No
Nov,1,Honda,Urban,Nov,3,Male,Married,44,Third Party,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,1,more than 7,36 to 40,No,3 to 5,2 vehicles,All Perils,No
Apr,2,Mazda,Urban,Apr,2,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,36 to 40,No,none,2 vehicles,All Perils,No
Aug,5,Mazda,Urban,Aug,5,Male,Single,44,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,more than 5,2 vehicles,Collision,No
Feb,4,Chevrolet,Urban,Mar,1,Female,Married,44,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,none,2 vehicles,Collision,No
Jan,3,Mazda,Urban,Jan,4,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,none,7 years,36 to 40,No,none,2 vehicles,Collision,No
Jun,1,Pontiac,Urban,Jun,2,Male,Single,44,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,1,7 years,36 to 40,No,none,2 vehicles,Liability,No
Mar,5,Toyota,Urban,Apr,2,Male,Married,44,Third Party,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,more than 7,36 to 40,No,3 to 5,2 vehicles,All Perils,No
May,4,Toyota,Urban,May,4,Female,Single,44,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,none,2 vehicles,All Perils,No
Nov,2,Mazda,Urban,Nov,3,Female,Married,44,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,Yes,none,2 vehicles,All Perils,No
Nov,4,Honda,Urban,Nov,5,Male,Married,44,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,more than 7,36 to 40,No,1 to 2,2 vehicles,Collision,No
Oct,1,Pontiac,Urban,Oct,2,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,none,7 years,36 to 40,No,none,2 vehicles,Collision,No
Apr,2,Pontiac,Rural,Apr,2,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,Collision,Yes
Apr,5,BMW,Urban,May,2,Female,Married,44,Policy Holder,Sedan - All Perils,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,5 years,36 to 40,No,3 to 5,1 vehicle,All Perils,Yes
Apr,1,Pontiac,Urban,Apr,2,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,none,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Apr,3,Chevrolet,Urban,Apr,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"more than 69,000",more than 30,more than 30,none,7 years,36 to 40,No,none,3 to 4,Liability,No
Apr,1,Honda,Urban,Apr,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,more than 5,3 to 4,Liability,No
Apr,4,Mazda,Urban,Apr,4,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,1 to 2,1 vehicle,Collision,No
Apr,1,Toyota,Urban,Apr,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,6 years,36 to 40,No,none,1 vehicle,Liability,No
Apr,3,Pontiac,Urban,Jun,2,Male,Single,44,Policy Holder,Sedan - All Perils,Sedan,"less than 20,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Apr,4,Toyota,Urban,May,2,Male,Single,44,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,1,6 years,36 to 40,No,1 to 2,1 vehicle,Collision,No
Apr,2,Accura,Urban,May,2,Female,Single,44,Policy Holder,Sedan - All Perils,Sedan,"30,000 to 39,000",more than 30,more than 30,1,7 years,36 to 40,No,none,1 vehicle,All Perils,No
Aug,2,Toyota,Urban,Aug,3,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,none,1 vehicle,Liability,No
Aug,4,Chevrolet,Urban,Aug,4,Male,Married,44,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,1 vehicle,Liability,No
Aug,1,Honda,Urban,Aug,1,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,more than 7,36 to 40,No,none,1 vehicle,Collision,No
Aug,2,Pontiac,Urban,Aug,2,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
Aug,4,Honda,Urban,Aug,4,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,"30,000 to 39,000",more than 30,more than 30,1,more than 7,36 to 40,No,more than 5,1 vehicle,Collision,No
Aug,4,Pontiac,Urban,Aug,4,Male,Single,44,Policy Holder,Sedan - Liability,Sport,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,3 to 5,1 vehicle,Liability,No
Aug,2,Mazda,Urban,Aug,2,Male,Single,44,Third Party,Sedan - Collision,Sedan,"20,000 to 29,000",more than 30,more than 30,2 to 4,7 years,36 to 40,No,more than 5,1 vehicle,Collision,No
